category	item	status	all_listed_evidence_exists	evidence	remaining_gap	counts
environment	environment.yml	complete	True	envs/bm_analysis/environment.yml; envs/bm_tracking/environment.yml; envs/bm_diffusion/environment.yml	IsaacLab/Kit live smoke remains blocked separately.	{}
environment	requirements-lock.txt	complete	True	envs/bm_analysis/requirements-lock.txt; envs/bm_tracking/requirements-lock.txt; envs/bm_diffusion/requirements-lock.txt	Locks prove environment capture, not successful long training.	{}
environment	pip-freeze.txt	complete	True	envs/bm_analysis/pip-freeze.txt; envs/bm_tracking/pip-freeze.txt; envs/bm_diffusion/pip-freeze.txt	Full deployment stack remains blocked.	{}
environment	conda-list-explicit.txt	complete	True	envs/bm_analysis/conda-list-explicit.txt; envs/bm_tracking/conda-list-explicit.txt; envs/bm_diffusion/conda-list-explicit.txt	Environment export does not prove Isaac/ROS runtime gates.	{}
environment	docs/environment.md	complete	True	reproduction/docs/environment.md	None for document scope.	{}
code	official worktrees	complete_for_local_copies	True	reproduction/third_party/official/whole_body_tracking; reproduction/third_party/official/motion_tracking_controller; reproduction/third_party/official/IsaacLab-v2.1.0	Live execution of official worktrees remains blocked by Kit/inotify and ROS/OS gates.	{}
code	patches	partial	True	reproduction/patches; res/code/patch_inventory_audit/patch_inventory_audit.json; res/code/patch_snapshot_audit/patch_snapshot_audit.json; res/tracking/motion_preprocessing_contract_audit/motion_preprocessing_contract_audit.json	Patch inventory and tracked-diff snapshots are audited, but no explicit full training/deployment patch series exists.	{}
code	VAE	partial	True	reproduction/src/beyondmimic_reimpl/vae/latent.py; res/level_c/vae_contract_audit/level_c_vae_contract_audit.json	No trained VAE checkpoint or true DAgger rollout.	{}
code	DAgger	partial	True	reproduction/src/beyondmimic_reimpl/dagger; res/level_c/dataset_collection_protocol_audit/level_c_dataset_collection_protocol_audit.json	Protocol/debug evidence only; true teacher rollouts missing.	{}
code	trajectory dataset	partial	True	reproduction/src/beyondmimic_reimpl/trajectory; res/level_c/paper_state_windows/level_c_paper_state_windows.json	Paper-scale state-latent rollout dataset with learned VAE latents missing.	{}
code	diffusion	partial	True	reproduction/src/beyondmimic_reimpl/diffusion/schedules.py; res/level_c/diffusion_equation_audit/level_c_diffusion_equation_audit.json	No trained diffusion Transformer checkpoint.	{}
code	guidance	partial	True	reproduction/src/beyondmimic_reimpl/guidance/costs.py; res/level_c/guidance_cost_coverage_audit/level_c_guidance_cost_coverage_audit.json; res/level_c/guidance_debug_visualization/level_c_guidance_debug_visualization.json	Guided rollout and required paper success/failure videos remain missing; debug formula visualization exists.	{}
code	evaluation	partial	True	reproduction/src/beyondmimic_reimpl/evaluation; res/comparison/paper_vs_reproduction.json	Paper-level closed-loop evaluation not complete.	{}
code	plotting	complete_for_released_data	True	reproduction/scripts/reproduce_released_figures.py; res/released_figures/released_figure_summary.tsv	Plotting covers released-data figures, not Fig. 5/Fig. 6.	{}
code	tests	complete_for_core_math	True	reproduction/tests/test_core_math.py; res/tests/core_math_unit_tests/core_math_unit_tests.json; res/tests/core_test_coverage_audit/core_test_coverage_audit.json; reproduction/tests/test_reimpl_package_api.py; res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json	Formula, package API, and core checklist coverage tests exist; no end-to-end Isaac/ROS/TensorRT test suite.	{}
experiment	raw logs	partial	True	res/run_log_config_catalog/run_log_config_catalog.json; logs/gpu/gpu_metrics.csv; logs/data/plot_adaptive_sampling_released.log	Run/log/config catalog indexes setup/data/debug/failure logs, but long training stdout/stderr logs are absent.	{}
experiment	resolved configs	partial	True	res/run_log_config_catalog/run_log_config_catalog.json; res/config/resolved_reproduction_config.yaml; res/runs/setup_run_management_diagnostic_static_000_20260617_050000/resolved_config.yaml	Run/log/config catalog indexes resolved configs, but no completed training run config exists.	{}
experiment	checkpoints	blocked_or_missing	True	res/required_artifact_absence/required_artifact_absence_audit.json; res/failed_runs/phase1_isaaclab_headless_smoke_g1_inotify_0_20260616_200654/checkpoint.txt; res/tracking/debug_motion_policy_onnx_export/tracking_debug_motion_policy_onnx_export.json	No real trained checkpoint/ONNX/TensorRT artifact is available; debug smoke checkpoints and the debug contract ONNX are counted separately.	"{""debug_checkpoint_file_count"": 5, ""model_file_count"": 17}"
experiment	metrics	partial	True	res/metrics/metrics_catalog/metrics_catalog.json; res/tests/reimpl_package_api_tests/reimpl_package_api_tests.json; res/tests/core_math_unit_tests/core_math_unit_tests.json; res/tests/core_test_coverage_audit/core_test_coverage_audit.json; res/paper_formula_code_trace/paper_formula_code_trace_audit.json; res/comparison/paper_vs_reproduction.csv; res/results_claims_audit/results_claims_audit.json	Metrics catalog now indexes released-data, formula-API, debug-only, comparison, coverage, and blocked-boundary metric artifacts; paper-scale training/evaluation metrics remain missing.	"{""metric_file_count"": 609}"
experiment	videos	blocked_or_missing	True	res/videos; res/runs/setup_run_management_diagnostic_static_000_20260617_050000/videos; res/visual_media_inventory/visual_media_inventory_audit.json	Visual media inventory records missing tracking rollout/replay, Fig. 5, Fig. 6, and real-robot videos; no reproduced simulation or real robot mp4/mov/mkv exists.	"{""debug_gif_preview_count"": 4, ""video_file_count"": 0}"
experiment	PDF figures	complete_for_released_and_debug	True	res/visual_media_inventory/visual_media_inventory_audit.json; res/level_c/augmentation_probe/ou_perturbation_probe.pdf; res/level_c/augmentation_probe/sagittal_symmetry_probe.pdf; res/level_c/guidance_checkpoint_visualization/checkpoint_guidance_composed_objectives.pdf; res/level_c/guidance_checkpoint_visualization/checkpoint_guidance_inpainting.pdf	Paper Fig. 5/Fig. 6 reproduced figures missing.	"{""pdf_count"": 30, ""released_data_figure_count"": 60}"
experiment	SVG figures	complete_for_released_and_debug	True	res/visual_media_inventory/visual_media_inventory_audit.json; res/level_c/augmentation_probe/ou_perturbation_probe.svg; res/level_c/augmentation_probe/sagittal_symmetry_probe.svg; res/level_c/guidance_checkpoint_visualization/checkpoint_guidance_composed_objectives.svg; res/level_c/guidance_checkpoint_visualization/checkpoint_guidance_inpainting.svg	Paper Fig. 5/Fig. 6 reproduced figures missing.	"{""released_data_figure_count"": 60, ""svg_count"": 30}"
experiment	PNG previews	complete_for_released_and_debug	True	res/visual_media_inventory/visual_media_inventory_audit.json; res/level_c/augmentation_probe/ou_perturbation_probe.png; res/level_c/augmentation_probe/sagittal_symmetry_probe.png; res/level_c/guidance_checkpoint_visualization/checkpoint_guidance_composed_objectives.png; res/level_c/guidance_checkpoint_visualization/checkpoint_guidance_inpainting.png	Paper Fig. 5/Fig. 6 reproduced previews missing.	"{""debug_visual_count"": 53, ""png_count"": 49}"
experiment	multi-seed statistics	partial	True	res/level_c/small_dataset_multiseed_audit/level_c_small_dataset_multiseed_audit.json; res/level_c/paper_state_heldout_multiseed_audit/level_c_paper_state_heldout_multiseed_audit.json	Smoke/debug multi-seed statistics only; no paper multi-seed training.	{}
experiment	failed runs	complete_for_current_failures	True	res/failed_runs/failed_run_audit/failed_run_audit.json	Records current known failed run, but does not resolve it.	"{""failed_run_count"": 14}"
documentation	README.md	complete	True	README.md; reproduction/README.md	None for document scope.	{}
documentation	RUNBOOK.md	complete	True	reproduction/RUNBOOK.md	None for document scope.	{}
documentation	PROGRESS.md	complete	True	reproduction/PROGRESS.md	None for document scope.	{}
documentation	docs/local_inventory.tsv	complete	True	reproduction/docs/local_inventory.tsv	None for document scope.	{}
documentation	docs/source_ledger.md	complete	True	reproduction/docs/source_ledger.md	None for document scope.	{}
documentation	docs/paper_parameter_map.md	complete	True	reproduction/docs/paper_parameter_map.md	None for document scope.	{}
documentation	docs/discrepancy_report.md	complete	True	reproduction/docs/discrepancy_report.md	None for document scope.	{}
documentation	docs/unresolved_details.md	complete	True	reproduction/docs/unresolved_details.md	None for document scope.	{}
documentation	docs/environment.md	complete	True	reproduction/docs/environment.md	None for document scope.	{}
documentation	docs/experiment_protocol.md	complete	True	reproduction/docs/experiment_protocol.md	None for document scope.	{}
documentation	docs/known_limitations.md	complete	True	reproduction/docs/known_limitations.md	None for document scope.	{}
documentation	res/final_report/reproduction_report.md	complete	True	res/final_report/reproduction_report.md	None for document scope.	{}
documentation	verification command coverage audit	complete	True	res/verification_command_coverage/verification_command_coverage_audit.json	Smoke subset verifies command hygiene only; it does not execute heavy training/deployment gates.	{}
