source,body_index,body_name,z_mean_m,z_min_m,z_p05_m,z_p50_m,z_p95_m,z_max_m
official_loop_bundle,0,pelvis,0.7737202889357622,0.19064557552337646,0.7114421278238297,0.7851643860340118,0.7989689826965332,0.8225724101066589
official_loop_bundle,1,pelvis_contour_link,0.7737202894378665,0.19064557552337646,0.7114421278238297,0.7851643860340118,0.7989690393209458,0.8225724101066589
official_loop_bundle,2,left_hip_pitch_link,0.7737202892709137,0.19064559042453766,0.7114420711994172,0.7851644158363342,0.7989690393209458,0.8225724101066589
official_loop_bundle,3,left_hip_roll_link,0.7737202916182204,0.19064559042453766,0.7114421278238297,0.7851643562316895,0.7989690423011779,0.8225724101066589
official_loop_bundle,4,left_hip_yaw_link,0.7737202890316978,0.19064557552337646,0.7114420711994172,0.7851644158363342,0.7989690393209458,0.8225724101066589
official_loop_bundle,5,left_knee_link,0.7737203035927237,0.19064563512802124,0.7114421844482421,0.7851644456386566,0.7989690452814102,0.8225723505020142
official_loop_bundle,6,left_ankle_pitch_link,0.7737202890316978,0.19064557552337646,0.7114420711994172,0.7851644158363342,0.7989690393209458,0.8225724101066589
official_loop_bundle,7,left_ankle_roll_link,0.7737202890316978,0.19064557552337646,0.7114420711994172,0.7851644158363342,0.7989690393209458,0.8225724101066589
official_loop_bundle,8,right_hip_pitch_link,0.7737203063561665,0.19064556062221527,0.7114421308040619,0.7851644158363342,0.7989690393209458,0.8225724697113037
official_loop_bundle,9,right_hip_roll_link,0.7737203070277155,0.19064557552337646,0.7114421308040619,0.7851643562316895,0.7989690959453583,0.8225723505020142
official_loop_bundle,10,right_hip_yaw_link,0.7737202915982857,0.19064559042453766,0.7114421278238297,0.7851643562316895,0.7989690423011779,0.8225724101066589
official_loop_bundle,11,right_knee_link,0.7737202810827506,0.19064559042453766,0.7114421278238297,0.7851643562316895,0.7989689826965332,0.8225723505020142
official_loop_bundle,12,right_ankle_pitch_link,0.7737202816857741,0.19064559042453766,0.7114420682191849,0.7851643562316895,0.7989690393209458,0.8225724101066589
official_loop_bundle,13,right_ankle_roll_link,0.7737202915982857,0.19064559042453766,0.7114421278238297,0.7851643562316895,0.7989690423011779,0.8225724101066589
official_loop_bundle,14,waist_yaw_link,0.7737203055824524,0.19064556062221527,0.7114421844482421,0.7851644158363342,0.7989690393209458,0.8225724697113037
official_loop_bundle,15,waist_roll_link,0.7737203063461991,0.19064557552337646,0.7114421308040619,0.7851643562316895,0.7989690929651261,0.8225723505020142
official_loop_bundle,16,torso_link,0.773720278122453,0.19064560532569885,0.7114420711994172,0.7851643562316895,0.7989689826965332,0.8225723505020142
official_loop_bundle,17,logo_link,0.7737202780377307,0.19064559042453766,0.7114420682191849,0.7851643562316895,0.7989690393209458,0.8225724101066589
official_loop_bundle,18,head_link,0.7737203010037093,0.19064557552337646,0.7114421278238297,0.7851644158363342,0.7989690363407135,0.8225724697113037
official_loop_bundle,19,imu_in_torso,0.7737203013039752,0.19064556062221527,0.7114421308040619,0.7851643264293671,0.7989690393209458,0.8225723505020142
official_loop_bundle,20,imu_in_pelvis,0.7737202648970495,0.19064562022686005,0.7114421278238297,0.7851643264293671,0.7989689201116562,0.8225722908973694
official_loop_bundle,21,mid360_link,0.7737202658414541,0.19064560532569885,0.7114420711994172,0.7851643264293671,0.7989690393209458,0.8225724101066589
official_loop_bundle,22,left_shoulder_pitch_link,0.7737202979537057,0.19064556062221527,0.7114420711994172,0.7851644456386566,0.7989690959453583,0.8225724697113037
official_loop_bundle,23,left_shoulder_roll_link,0.7737202975562584,0.19064554572105408,0.7114421278238297,0.7851643860340118,0.7989690393209458,0.8225722908973694
official_loop_bundle,24,left_shoulder_yaw_link,0.7737202425440618,0.19064565002918243,0.7114420682191849,0.7851642966270447,0.7989688634872436,0.8225722908973694
official_loop_bundle,25,left_elbow_link,0.7737202440628339,0.19064557552337646,0.7114420682191849,0.7851643264293671,0.7989690423011779,0.8225723505020142
official_loop_bundle,26,left_wrist_roll_link,0.7737202955540705,0.19064556062221527,0.7114420711994172,0.7851644456386566,0.7989690393209458,0.8225724101066589
official_loop_bundle,27,left_wrist_pitch_link,0.7737202941760869,0.19064554572105408,0.7114421278238297,0.7851643860340118,0.7989690393209458,0.8225722908973694
official_loop_bundle,28,left_wrist_yaw_link,0.7737202209037383,0.19064569473266602,0.7114420682191849,0.7851642370223999,0.7989688009023667,0.8225722908973694
official_loop_bundle,29,left_rubber_hand,0.7737202240048244,0.1906455159187317,0.7114420682191849,0.7851643264293671,0.7989689826965332,0.8225724101066589
official_loop_bundle,30,right_shoulder_pitch_link,0.7737202949697357,0.19064556062221527,0.7114420711994172,0.7851644158363342,0.7989690363407135,0.8225724101066589
official_loop_bundle,31,right_shoulder_roll_link,0.7737202946146495,0.19064554572105408,0.7114421844482421,0.7851643562316895,0.7989690393209458,0.8225722908973694
official_loop_bundle,32,right_shoulder_yaw_link,0.773720221878045,0.19064569473266602,0.7114420682191849,0.7851642370223999,0.7989688009023667,0.8225722312927246
official_loop_bundle,33,right_elbow_link,0.7737202252009042,0.1906455159187317,0.7114420682191849,0.7851643264293671,0.7989689826965332,0.8225723505020142
official_loop_bundle,34,right_wrist_roll_link,0.7737202937649345,0.19064556062221527,0.7114421278238297,0.7851644456386566,0.7989690363407135,0.8225724697113037
official_loop_bundle,35,right_wrist_pitch_link,0.773720293951822,0.19064553081989288,0.7114421844482421,0.7851643860340118,0.7989690393209458,0.8225722312927246
official_loop_bundle,36,right_wrist_yaw_link,0.7737202218979796,0.19064569473266602,0.7114420682191849,0.7851642370223999,0.7989688009023667,0.8225722312927246
official_loop_bundle,37,right_rubber_hand,0.7737202251560512,0.1906455159187317,0.7114420682191849,0.7851643264293671,0.7989689826965332,0.8225723505020142
official_loop_bundle,38,LL_FOOT,0.7737202942608092,0.19064556062221527,0.7114420711994172,0.7851644456386566,0.7989689826965332,0.8225724697113037
official_loop_bundle,39,LR_FOOT,0.7737202940029045,0.19064553081989288,0.7114421874284744,0.7851643860340118,0.7989690393209458,0.8225722312927246
urdf_fk_candidate_walk1,0,pelvis,0.7870843123745819,0.7617476,0.7652878599999999,0.7959552,0.79654042,0.796553
urdf_fk_candidate_walk1,1,pelvis_contour_link,0.7870843123745819,0.7617476,0.7652878599999999,0.7959552,0.79654042,0.796553
urdf_fk_candidate_walk1,2,left_hip_pitch_link,0.6846111860365782,0.6538560822636551,0.6636519971081944,0.6918870467087124,0.693472959613141,0.694079603206291
urdf_fk_candidate_walk1,3,left_hip_roll_link,0.6547067316010329,0.6230979767851498,0.6304984011051737,0.6601133055454464,0.6626956670298075,0.6638721255293569
urdf_fk_candidate_walk1,4,left_hip_yaw_link,0.5443881213233507,0.5136346974234198,0.5180841621771998,0.549197884434834,0.5543874715265911,0.5591362863908387
urdf_fk_candidate_walk1,5,left_knee_link,0.35472377471799527,0.3277101644480725,0.33615887181018544,0.3576657366102672,0.3646337092339273,0.37527531587427587
urdf_fk_candidate_walk1,6,left_ankle_pitch_link,0.07105786293172833,0.06194156996832145,0.06202659741781006,0.06319557817562693,0.12122560023838042,0.16544858493629935
urdf_fk_candidate_walk1,7,left_ankle_roll_link,0.054083834997340555,0.04441799766495587,0.04450514961468727,0.04567134964119726,0.10798638681302929,0.15880917945360806
urdf_fk_candidate_walk1,8,right_hip_pitch_link,0.6847392308347408,0.6562939199384058,0.6614284626339048,0.6942016672569633,0.6951531337496921,0.695394470213675
urdf_fk_candidate_walk1,9,right_hip_roll_link,0.6553360062634311,0.6250589477669142,0.6313690840878292,0.6642606449201571,0.6661543032070242,0.666464304203088
urdf_fk_candidate_walk1,10,right_hip_yaw_link,0.5482472720511263,0.5116325397697948,0.5193875766201718,0.5491236066413204,0.5636707481655345,0.567755265942245
urdf_fk_candidate_walk1,11,right_knee_link,0.3593732285153112,0.327467052839178,0.3433704525453767,0.35864605556359175,0.37671472363034897,0.38266239828201004
urdf_fk_candidate_walk1,12,right_ankle_pitch_link,0.07497923706671139,0.06370707348599891,0.06435972162047708,0.06557169308975436,0.12202014150033084,0.16994503627696947
urdf_fk_candidate_walk1,13,right_ankle_roll_link,0.05807142947630243,0.04622529555196063,0.04681081870163518,0.04810608897994981,0.10735382972123254,0.16471925575230137
urdf_fk_candidate_walk1,14,waist_yaw_link,0.7870843123745819,0.7617476,0.7652878599999999,0.7959552,0.79654042,0.796553
urdf_fk_candidate_walk1,15,waist_roll_link,0.8311812177391754,0.8057571056406193,0.8094410468512233,0.8401206372391061,0.840673729719476,0.8406998591891492
urdf_fk_candidate_walk1,16,torso_link,0.8311812177391754,0.8057571056406193,0.8094410468512233,0.8401206372391061,0.840673729719476,0.8406998591891492
urdf_fk_candidate_walk1,17,logo_link,0.7870898508857964,0.7615825091791544,0.7653361126274514,0.7960069547495926,0.7966184942647321,0.7966404834018017
urdf_fk_candidate_walk1,18,head_link,0.7870898508857964,0.7615825091791544,0.7653361126274514,0.7960069547495926,0.7966184942647321,0.7966404834018017
urdf_fk_candidate_walk1,19,imu_in_torso,0.9806869187427601,0.956932459953139,0.9605401641448394,0.9886729810129695,0.9898097616020285,0.9900438437778343
urdf_fk_candidate_walk1,20,imu_in_pelvis,0.7014101381107465,0.6760622428245252,0.6793936395879141,0.7094832584403437,0.7107107923516056,0.7117583276344761
urdf_fk_candidate_walk1,21,mid360_link,1.2463798445710301,1.21976844389103,1.2234170391293708,1.2557951584770861,1.256780078335082,1.2567993366935768
urdf_fk_candidate_walk1,22,left_shoulder_pitch_link,1.0784080105807552,1.0513179024125552,1.0568874193915163,1.0848915856376453,1.089369696881768,1.0894101531443825
urdf_fk_candidate_walk1,23,left_shoulder_roll_link,1.0758195601983636,1.0491386374285752,1.0546558032971183,1.0817041405080214,1.0870156827529027,1.0870715105416997
urdf_fk_candidate_walk1,24,left_shoulder_yaw_link,1.0227177203594324,0.9508274233778733,0.955816607366068,0.9842773277684812,1.1020776796163003,1.1035015818597669
urdf_fk_candidate_walk1,25,left_elbow_link,0.980267638892855,0.8694830579344218,0.8754824601616938,0.9030693450613717,1.110507468272334,1.1123419752707382
urdf_fk_candidate_walk1,26,left_wrist_roll_link,0.9416617950741808,0.7819392510671321,0.7850825560769927,0.8196408799490291,1.1248231384230643,1.125338807950813
urdf_fk_candidate_walk1,27,left_wrist_pitch_link,0.928525669526787,0.7472141915685282,0.7505266250818597,0.790283304915507,1.1311072389547492,1.1316582659030334
urdf_fk_candidate_walk1,28,left_wrist_yaw_link,0.912831019109802,0.7044437283782653,0.7079871919866568,0.7531742537828666,1.1423998438465839,1.1426752693955804
urdf_fk_candidate_walk1,29,left_rubber_hand,0.9046383471490361,0.6725378931666355,0.6764456604756415,0.7289616539369719,1.1535800579791358,1.1538335784193048
urdf_fk_candidate_walk1,30,right_shoulder_pitch_link,1.0779756855234897,1.05147182488984,1.0539632745060936,1.0871479657947123,1.0908551758878786,1.0912191109830147
urdf_fk_candidate_walk1,31,right_shoulder_roll_link,1.0759030435121966,1.0482930009957723,1.051141856653387,1.085092766504227,1.0896405438161783,1.0901766621817415
urdf_fk_candidate_walk1,32,right_shoulder_yaw_link,1.015019130513178,0.9494361167899859,0.9548882415165568,0.9893171164223713,1.092696125220746,1.0952252474927706
urdf_fk_candidate_walk1,33,right_elbow_link,0.966496609362091,0.8677470930806542,0.8737742908856998,0.9075700747784095,1.0937607260727256,1.0990721991120564
urdf_fk_candidate_walk1,34,right_wrist_roll_link,0.9264145368607842,0.7797375322671497,0.7836452475594066,0.8241424535188022,1.0976219944759646,1.105225991707236
urdf_fk_candidate_walk1,35,right_wrist_pitch_link,0.9129613862064202,0.7460490084163837,0.7507310324821291,0.7948390315584799,1.098960599800349,1.1069256126103335
urdf_fk_candidate_walk1,36,right_wrist_yaw_link,0.8955039543028845,0.7037644599592165,0.7096617568478266,0.7584652557661248,1.0987129063501706,1.1080100186752089
urdf_fk_candidate_walk1,37,right_rubber_hand,0.8873844764248499,0.6701142186627672,0.6772669941144401,0.7328720022452463,1.1152633667927043,1.123586990506931
urdf_fk_candidate_walk1,38,LL_FOOT,0.014271545567445653,0.005394283339138495,0.005502682872616782,0.006721644504833091,0.053997144163749115,0.10821900924033999
urdf_fk_candidate_walk1,39,LR_FOOT,0.01914222481884091,0.0076929134273934704,0.008568083175969358,0.009858444516817721,0.05483597529748835,0.11615649181779417
